palabra,peso,ciudad
hijo,1.0,Cali
si,0.5769230769230769,Cali
hoy,0.5,Cali
días,0.34615384615384615,Cali
colombia,0.34615384615384615,Cali
toda,0.34615384615384615,Cali
celebrar,0.3076923076923077,Cali
fin semana,0.3076923076923077,Cali
poder,0.2692307692307692,Cali
mamá,0.2692307692307692,Cali
cada,0.2692307692307692,Cali
señora,0.2692307692307692,Cali
dijo,0.23076923076923078,Cali
duque,0.23076923076923078,Cali
regalo,0.23076923076923078,Cali
casa,0.23076923076923078,Cali
mano,0.23076923076923078,Cali
alguien,0.23076923076923078,Cali
policía,0.23076923076923078,Cali
claudialopez,0.19230769230769232,Cali
mayo,0.19230769230769232,Cali
mejor,0.19230769230769232,Cali
pueblo,0.19230769230769232,Cali
así,0.19230769230769232,Cali
gente,0.19230769230769232,Cali
va,0.19230769230769232,Cali
comercio,0.19230769230769232,Cali
solo,0.15384615384615385,Cali
fecha,0.15384615384615385,Cali
pues,0.15384615384615385,Cali
iba,0.15384615384615385,Cali
semana,0.15384615384615385,Cali
acerca,0.15384615384615385,Cali
van,0.15384615384615385,Cali
ser,0.15384615384615385,Cali
siempre,0.15384615384615385,Cali
nuevo,0.15384615384615385,Cali
celebración,0.15384615384615385,Cali
soscolombiaddhh,0.15384615384615385,Cali
domingo,0.15384615384615385,Cali
favor,0.15384615384615385,Cali
momento,0.15384615384615385,Cali
colombia manifestantes,0.15384615384615385,Cali
manifestantes jalón,0.15384615384615385,Cali
jalón pala,0.15384615384615385,Cali
pala ambulancia,0.15384615384615385,Cali
ambulancia trabajo,0.15384615384615385,Cali
trabajo parto,0.15384615384615385,Cali
parto triste,0.15384615384615385,Cali
triste resultado,0.15384615384615385,Cali
resultado perdida,0.15384615384615385,Cali
perdida niña,0.15384615384615385,Cali
niña hago,0.15384615384615385,Cali
hago naciendo,0.15384615384615385,Cali
naciendo muerta,0.15384615384615385,Cali
muerta tragedia,0.15384615384615385,Cali
mientras,0.11538461538461539,Cali
ahora,0.11538461538461539,Cali
grande,0.11538461538461539,Cali
familia,0.11538461538461539,Cali
sabe,0.11538461538461539,Cali
ver,0.11538461538461539,Cali
asesinado,0.11538461538461539,Cali
celebramos,0.11538461538461539,Cali
matar,0.11538461538461539,Cali
segundo,0.11538461538461539,Cali
comercial,0.11538461538461539,Cali
después,0.11538461538461539,Cali
trabajar,0.11538461538461539,Cali
dejamos,0.11538461538461539,Cali
viene,0.11538461538461539,Cali
mundo,0.11538461538461539,Cali
algún,0.11538461538461539,Cali
celebra,0.11538461538461539,Cali
triste,0.11538461538461539,Cali
solamente,0.11538461538461539,Cali
dolor,0.11538461538461539,Cali
mas,0.11538461538461539,Cali
vamos,0.11538461538461539,Cali
da,0.11538461538461539,Cali
razones,0.11538461538461539,Cali
tan,0.11538461538461539,Cali
pensando,0.11538461538461539,Cali
perdido,0.11538461538461539,Cali
compra,0.11538461538461539,Cali
hablar,0.11538461538461539,Cali
noticiascaracol,0.11538461538461539,Cali
volver,0.11538461538461539,Cali
marchar,0.11538461538461539,Cali
soscolmbia,0.11538461538461539,Cali
protesta,0.11538461538461539,Cali
usted,0.11538461538461539,Cali
bueno,0.11538461538461539,Cali
derecho,0.11538461538461539,Cali
salud,0.11538461538461539,Cali
hacer,0.11538461538461539,Cali
paro,0.11538461538461539,Cali
muerto,0.11538461538461539,Cali
envío,0.11538461538461539,Cali
restaurante,0.11538461538461539,Cali
uci,0.11538461538461539,Cali
cuarentena,0.11538461538461539,Cali
contagio,0.11538461538461539,Cali
vida,0.11538461538461539,Cali
petrogustavo,0.07692307692307693,Cali
padre,0.07692307692307693,Cali
dar,0.07692307692307693,Cali
estudiante,0.07692307692307693,Cali
fin,0.07692307692307693,Cali
dias,0.07692307692307693,Cali
piensan,0.07692307692307693,Cali
acuerdan,0.07692307692307693,Cali
aplazaba,0.07692307692307693,Cali
dejar,0.07692307692307693,Cali
lu,0.07692307692307693,Cali
espero,0.07692307692307693,Cali
quieren,0.07692307692307693,Cali
ivanduque,0.07692307692307693,Cali
amén,0.07692307692307693,Cali
olvide,0.07692307692307693,Cali
agustín,0.07692307692307693,Cali
feliz,0.07692307692307693,Cali
piensen,0.07692307692307693,Cali
marchas,0.07692307692307693,Cali
perdieron,0.07692307692307693,Cali
igual,0.07692307692307693,Cali
cierto,0.07692307692307693,Cali
futuro,0.07692307692307693,Cali
mil,0.07692307692307693,Cali
ecd,0.07692307692307693,Cali
concurso,0.07692307692307693,Cali
milf,0.07692307692307693,Cali
cali,0.07692307692307693,Cali
poniendo,0.07692307692307693,Cali
riesgo,0.07692307692307693,Cali
terrorismo,0.07692307692307693,Cali
orden,0.07692307692307693,Cali
asesinar,0.07692307692307693,Cali
tema,0.07692307692307693,Cali
quiero,0.07692307692307693,Cali
especiales,0.07692307692307693,Cali
social,0.07692307692307693,Cali
vez,0.07692307692307693,Cali
mayor,0.07692307692307693,Cali
habla,0.07692307692307693,Cali
aquí,0.07692307692307693,Cali
cuenta,0.07692307692307693,Cali
saber,0.07692307692307693,Cali
corazón,0.07692307692307693,Cali
mierda,0.07692307692307693,Cali
salir,0.07692307692307693,Cali
colombiaenalertaroja,0.07692307692307693,Cali
noches,0.07692307692307693,Cali
noticiero,0.07692307692307693,Cali
invitar,0.07692307692307693,Cali
viviendo,0.07692307692307693,Cali
cree,0.07692307692307693,Cali
país,0.07692307692307693,Cali
dizque,0.07692307692307693,Cali
negocio,0.07692307692307693,Cali
tip,0.07692307692307693,Cali
colombiano,0.07692307692307693,Cali
mujeres,0.07692307692307693,Cali
solidaridad,0.07692307692307693,Cali
saninpazc,0.07692307692307693,Cali
nunca,0.07692307692307693,Cali
joven,0.07692307692307693,Cali
celebremos,0.07692307692307693,Cali
secretario,0.07692307692307693,Cali
bogotá,0.07692307692307693,Cali
culpa,0.07692307692307693,Cali
persona,0.07692307692307693,Cali
gobierno,0.07692307692307693,Cali
aplazó,0.07692307692307693,Cali
puta,0.07692307692307693,Cali
celebren,0.07692307692307693,Cali
niega,0.07692307692307693,Cali
citytv,0.07692307692307693,Cali
luego,0.07692307692307693,Cali
pudo,0.07692307692307693,Cali
hija,0.07692307692307693,Cali
senadora,0.07692307692307693,Cali
puede,0.07692307692307693,Cali
haber,0.07692307692307693,Cali
bogota,0.07692307692307693,Cali
pueda,0.07692307692307693,Cali
camas,0.07692307692307693,Cali
ir,0.07692307692307693,Cali
comerciales,0.07692307692307693,Cali
alerta,0.07692307692307693,Cali
ocupación,0.07692307692307693,Cali
gt,0.07692307692307693,Cali
tiktok reel,0.07692307692307693,Cali
antunelo chan,0.07692307692307693,Cali
cultura radioeth,0.07692307692307693,Cali
gran historia,0.07692307692307693,Cali
ricardo,0.038461538461538464,Cali
aabenedetti,0.038461538461538464,Cali
monyrodriguezof,0.038461538461538464,Cali
donizquierdo,0.038461538461538464,Cali
feliz,1.0,Armenia
hoy,0.7058823529411765,Armenia
si,0.47058823529411764,Armenia
mamá,0.4117647058823529,Armenia
hijo,0.4117647058823529,Armenia
toda,0.35294117647058826,Armenia
si todavía,0.35294117647058826,Armenia
todavía andas,0.35294117647058826,Armenia
andas buscando,0.35294117647058826,Armenia
buscando regalo,0.35294117647058826,Armenia
regalo derrochan,0.35294117647058826,Armenia
derrochan estilo,0.35294117647058826,Armenia
estilo selección,0.35294117647058826,Armenia
selección vestidos,0.35294117647058826,Armenia
vestidos encuentras,0.35294117647058826,Armenia
encuentras regalo,0.35294117647058826,Armenia
regalo seguro,0.35294117647058826,Armenia
año,0.29411764705882354,Armenia
días,0.29411764705882354,Armenia
mejor,0.29411764705882354,Armenia
país,0.23529411764705882,Armenia
mierda,0.23529411764705882,Armenia
celebración,0.23529411764705882,Armenia
sigue,0.23529411764705882,Armenia
tan,0.23529411764705882,Armenia
familia,0.23529411764705882,Armenia
dice,0.23529411764705882,Armenia
nunca,0.23529411764705882,Armenia
rocío,0.23529411764705882,Armenia
padre,0.23529411764705882,Armenia
mayo,0.23529411764705882,Armenia
hija,0.23529411764705882,Armenia
joven,0.17647058823529413,Armenia
derechos,0.17647058823529413,Armenia
ahora,0.17647058823529413,Armenia
pa,0.17647058823529413,Armenia
mujer,0.17647058823529413,Armenia
gracias,0.17647058823529413,Armenia
lucha,0.17647058823529413,Armenia
siempre,0.17647058823529413,Armenia
creemos,0.17647058823529413,Armenia
domingo,0.17647058823529413,Armenia
ibague,0.17647058823529413,Armenia
dando,0.17647058823529413,Armenia
tiempo,0.17647058823529413,Armenia
menos,0.17647058823529413,Armenia
puede,0.17647058823529413,Armenia
sabes vas,0.17647058823529413,Armenia
vas regalarle,0.17647058823529413,Armenia
regalarle atenta,0.17647058823529413,Armenia
súper originales,0.17647058823529413,Armenia
originales imposible,0.17647058823529413,Armenia
imposible acertar,0.17647058823529413,Armenia
llorar llorar,0.17647058823529413,Armenia
pedir,0.11764705882352941,Armenia
colombia,0.11764705882352941,Armenia
ayer,0.11764705882352941,Armenia
después,0.11764705882352941,Armenia
hora,0.11764705882352941,Armenia
queda,0.11764705882352941,Armenia
cumpleaños,0.11764705882352941,Armenia
muchas,0.11764705882352941,Armenia
maravillosa,0.11764705882352941,Armenia
largo,0.11764705882352941,Armenia
digo,0.11764705882352941,Armenia
aplazar,0.11764705882352941,Armenia
peor,0.11764705882352941,Armenia
sale,0.11764705882352941,Armenia
barrio,0.11764705882352941,Armenia
recordando,0.11764705882352941,Armenia
vándalo,0.11764705882352941,Armenia
calle,0.11764705882352941,Armenia
luchar,0.11764705882352941,Armenia
casa,0.11764705882352941,Armenia
cabeza,0.11764705882352941,Armenia
final,0.11764705882352941,Armenia
puta,0.11764705882352941,Armenia
redes,0.11764705882352941,Armenia
pensando,0.11764705882352941,Armenia
quisiera,0.11764705882352941,Armenia
salir,0.11764705882352941,Armenia
solo,0.11764705882352941,Armenia
ojalá,0.11764705882352941,Armenia
defender,0.11764705882352941,Armenia
van,0.11764705882352941,Armenia
pag,0.11764705882352941,Armenia
momento,0.11764705882352941,Armenia
cada,0.11764705882352941,Armenia
tener,0.11764705882352941,Armenia
felicitado,0.11764705882352941,Armenia
diadelamadre,0.11764705882352941,Armenia
dios,0.11764705882352941,Armenia
rocíodeesperanza,0.11764705882352941,Armenia
carrasco,0.11764705882352941,Armenia
niña,0.11764705882352941,Armenia
dejado,0.11764705882352941,Armenia
sido,0.11764705882352941,Armenia
bueno,0.11764705882352941,Armenia
mala,0.11764705882352941,Armenia
libro,0.11764705882352941,Armenia
sabe,0.11764705882352941,Armenia
celebra,0.11764705882352941,Armenia
vender,0.11764705882352941,Armenia
pueblo,0.11764705882352941,Armenia
napoleón,0.11764705882352941,Armenia
díadelamadre,0.11764705882352941,Armenia
estambul,0.11764705882352941,Armenia
abril,0.11764705882352941,Armenia
pregunte,0.11764705882352941,Armenia
necesito,0.11764705882352941,Armenia
manizales,0.11764705882352941,Armenia
amor,0.11764705882352941,Armenia
tarde,0.11764705882352941,Armenia
noalareformatributaria,0.11764705882352941,Armenia
pie,0.11764705882352941,Armenia
fotografía,0.11764705882352941,Armenia
tomada,0.11764705882352941,Armenia
risaralda,0.11764705882352941,Armenia
despedir,0.058823529411764705,Armenia
salio,0.058823529411764705,Armenia
ejercer,0.058823529411764705,Armenia
empleo,0.058823529411764705,Armenia
sangre,0.058823529411764705,Armenia
causa,0.058823529411764705,Armenia
fortaleza,0.058823529411764705,Armenia
lucas,0.058823529411764705,Armenia
asesinado,0.058823529411764705,Armenia
pereira,0.058823529411764705,Armenia
alucaslomatoelgobierno,0.058823529411764705,Armenia
vuelto,0.058823529411764705,Armenia
echando,0.058823529411764705,Armenia
indirectazos,0.058823529411764705,Armenia
señora,0.058823529411764705,Armenia
nun,0.058823529411764705,Armenia
mzx,0.058823529411764705,Armenia
orden,0.058823529411764705,Armenia
cosas,0.058823529411764705,Armenia
hace,0.058823529411764705,Armenia
putísima,0.058823529411764705,Armenia
sentarse,0.058823529411764705,Armenia
terraza,0.058823529411764705,Armenia
enrearse,0.058823529411764705,Armenia
cervezas,0.058823529411764705,Armenia
copas,0.058823529411764705,Armenia
llegue,0.058823529411764705,Armenia
toque,0.058823529411764705,Armenia
enviaratodas,0.058823529411764705,Armenia
dañe,0.058823529411764705,Armenia
dondevivirblog,0.058823529411764705,Armenia
pronto,0.058823529411764705,Armenia
acerca,0.058823529411764705,Armenia
diferente,0.058823529411764705,Armenia
debido,0.058823529411764705,Armenia
covid,0.058823529411764705,Armenia
compartimos,0.058823529411764705,Armenia
ideas,0.058823529411764705,Armenia
celebres,0.058823529411764705,Armenia
junto,0.058823529411764705,Armenia
leyendo,0.058823529411764705,Armenia
entrada,0.058823529411764705,Armenia
blog,0.058823529411764705,Armenia
mm,0.058823529411764705,Armenia
zoglw,0.058823529411764705,Armenia
biguo,0.058823529411764705,Armenia
zby,0.058823529411764705,Armenia
aparte,0.058823529411764705,Armenia
melena,0.058823529411764705,Armenia
mirado,0.058823529411764705,Armenia
espejo,0.058823529411764705,Armenia
dicho,0.058823529411764705,Armenia
cualquier,0.058823529411764705,Armenia
da,0.058823529411764705,Armenia
pipijerbe,0.058823529411764705,Armenia
corto,0.058823529411764705,Armenia
vez,0.058823529411764705,Armenia
pues,0.058823529411764705,Armenia
altura,0.058823529411764705,Armenia
nuca,0.058823529411764705,Armenia
xddddddd,0.058823529411764705,Armenia
ivanduque,0.058823529411764705,Armenia
mandan,0.058823529411764705,Armenia
decir,0.058823529411764705,Armenia
mamas,0.058823529411764705,Armenia
volverlo,0.058823529411764705,Armenia
luto,0.058823529411764705,Armenia
viejo,0.058823529411764705,Armenia
luego,0.058823529411764705,Armenia
burribe,0.058823529411764705,Armenia
caracolradio,0.058823529411764705,Armenia
garethsella,0.058823529411764705,Armenia
justifica,0.058823529411764705,Armenia
muerte,0.058823529411764705,Armenia
difunto,0.058823529411764705,Armenia
contando,0.058823529411764705,Armenia
muchacho,0.058823529411764705,Armenia
común,0.058823529411764705,Armenia
disidencias,0.058823529411764705,Armenia
farc,0.058823529411764705,Armenia
bacrim,0.058823529411764705,Armenia
verdaderos,0.058823529411764705,Armenia
